record_id,redacted_data_json,is_pii
1,"{""customer_id"": ""CUST001"", ""phone"": ""98XXXXX210"", ""order_value"": 1299}",TRUE
2,"{""name"": ""[REDACTED_PII]"", ""email"": ""r*****r@email.com"", ""city"": ""Mumbai""}",TRUE
3,"{""first_name"": ""Priya"", ""product"": ""iPhone 14"", ""category"": ""Electronics""}",FALSE
4,"{""aadhar"": ""XXXX-XXXX-9012"", ""transaction_type"": ""purchase""}",TRUE
5,"{""email"": ""standalone@email.com"", ""product_id"": ""PROD123""}",FALSE
6,"{""name"": ""[REDACTED_PII]"", ""address"": ""[REDACTED_PII]"", ""ip_address"": ""192.168.1.XXX""}",TRUE
7,"{""city"": ""Delhi"", ""pin_code"": ""110001"", ""product_category"": ""Fashion""}",FALSE
8,"{""upi_id"": ""u*****3@paytm"", ""amount"": 500}",TRUE
9,"{""last_name"": ""Sharma"", ""order_id"": ""ORD789456""}",FALSE
10,"{""passport"": ""PXXXXXXX"", ""booking_reference"": ""BK123""}",TRUE
11,"{""device_id"": ""DEV456789"", ""app_version"": ""2.1.4""}",FALSE
12,"{""name"": ""[REDACTED_PII]"", ""email"": ""s*****l@gmail.com"", ""device_id"": ""MOB*****456""}",TRUE
13,"{""transaction_id"": ""TXN987654"", ""amount"": 2500, ""status"": ""completed""}",FALSE
14,"{""phone"": ""87XXXXX109"", ""order_date"": ""2024-01-15""}",TRUE
15,"{""state"": ""Maharashtra"", ""product_name"": ""Laptop Bag""}",FALSE
16,"{""name"": ""[REDACTED_PII]"", ""address"": ""[REDACTED_PII]"", ""email"": ""v*****m@company.com""}",TRUE
17,"{""first_name"": ""Anita"", ""last_name_initial"": ""K"", ""age"": 28}",FALSE
18,"{""aadhar"": ""XXXX-XXXX-1098"", ""verification_status"": ""verified""}",TRUE
19,"{""email"": ""customer@service.com"", ""query_type"": ""refund""}",FALSE
20,"{""upi_id"": ""9*****0@ybl"", ""merchant"": ""Flipkart""}",TRUE
21,"{""product_description"": ""Samsung Galaxy S23"", ""price"": 65000}",FALSE
22,"{""name"": ""[REDACTED_PII]"", ""phone"": ""78XXXXX456"", ""email"": ""d*****a@email.com""}",TRUE
23,"{""pin_code"": ""400001"", ""delivery_date"": ""2024-02-10""}",FALSE
24,"{""passport"": ""MXXXXXXX"", ""travel_date"": ""2024-03-15""}",TRUE
25,"{""customer_segment"": ""Premium"", ""loyalty_points"": 1500}",FALSE
26,"{""name"": ""[REDACTED_PII]"", ""address"": ""[REDACTED_PII]"", ""ip_address"": ""10.0.0.XXX""}",TRUE
27,"{""order_type"": ""Express"", ""shipping_method"": ""same_day""}",FALSE
28,"{""phone"": ""67XXXXX345"", ""sms_consent"": true}",TRUE
29,"{""username"": ""techguru"", ""last_login"": ""2024-01-20""}",FALSE
30,"{""aadhar"": ""XXXX-XXXX-3045"", ""kyc_status"": ""pending""}",TRUE
31,"{""category"": ""Books"", ""author"": ""Chetan Bhagat""}",FALSE
32,"{""name"": ""[REDACTED_PII]"", ""email"": ""m*****j@workplace.com"", ""device_type"": ""Android""}",TRUE
33,"{""session_id"": ""SESS789123"", ""duration"": ""45 minutes""}",FALSE
34,"{""upi_id"": ""m*****t@okaxis"", ""payment_method"": ""UPI""}",TRUE
35,"{""region"": ""North India"", ""warehouse_code"": ""WH001""}",FALSE
36,"{""name"": ""[REDACTED_PII]"", ""address"": ""[REDACTED_PII]"", ""phone"": ""90XXXXX678""}",TRUE
37,"{""subscription_type"": ""Premium"", ""renewal_date"": ""2024-06-15""}",FALSE
38,"{""passport"": ""LXXXXXXX"", ""country"": ""India""}",TRUE
39,"{""first_name"": ""Kavya"", ""gender"": ""Female"", ""age_group"": ""25-35""}",FALSE
40,"{""aadhar"": ""XXXX-XXXX-0123"", ""bank_verification"": ""success""}",TRUE
41,"{""brand"": ""Nike"", ""model"": ""Air Max"", ""size"": ""9""}",FALSE
42,"{""name"": ""[REDACTED_PII]"", ""email"": ""s*****r@tech.com"", ""ip_address"": ""203.192.1.XXX""}",TRUE
43,"{""currency"": ""INR"", ""exchange_rate"": 83.25}",FALSE
44,"{""phone"": ""89XXXXX567"", ""notification_preference"": ""SMS""}",TRUE
45,"{""product_rating"": 4.5, ""review_count"": 150}",FALSE
46,"{""upi_id"": ""f*****t@ibl"", ""family_size"": 4}",TRUE
47,"{""zip_code"": ""560001"", ""delivery_zone"": ""Zone_A""}",FALSE
48,"{""name"": ""[REDACTED_PII]"", ""address"": ""[REDACTED_PII]"", ""email"": ""p*****i@email.in""}",TRUE
49,"{""app_name"": ""Flipkart"", ""version"": ""8.21.0""}",FALSE
50,"{""passport"": ""KXXXXXXX"", ""issue_date"": ""2020-05-10""}",TRUE
51,"{""last_name"": ""Iyer"", ""profession"": ""Software Engineer""}",FALSE
52,"{""aadhar"": ""XXXX-XXXX-1234"", ""address_proof"": ""verified""}",TRUE
53,"{""email"": ""support@flipkart.com"", ""ticket_id"": ""TICK456""}",FALSE
54,"{""name"": ""[REDACTED_PII]"", ""phone"": ""70XXXXX689"", ""device_id"": ""AND*****789""}",TRUE
55,"{""search_query"": ""bluetooth headphones"", ""filters"": ""price,brand""}",FALSE
56,"{""upi_id"": ""8*****1@paytm"", ""auto_debit"": true}",TRUE
57,"{""state_code"": ""MH"", ""gst_number"": ""27ABCDE1234F1Z5""}",FALSE
58,"{""name"": ""[REDACTED_PII]"", ""email"": ""l*****v@company.org"", ""address"": ""[REDACTED_PII]""}",TRUE
59,"{""feature_flag"": ""new_checkout"", ""enabled"": true}",FALSE
60,"{""phone"": ""93XXXXX012"", ""otp_verification"": ""pending""}",TRUE
61,"{""discount_code"": ""SAVE20"", ""validity"": ""2024-03-31""}",FALSE
62,"{""passport"": ""AXXXXXXX"", ""nationality"": ""Indian""}",TRUE
63,"{""first_name"": ""Rohan"", ""wishlist_count"": 15}",FALSE
64,"{""aadhar"": ""XXXX-XXXX-3456"", ""biometric_status"": ""matched""}",TRUE
65,"{""payment_gateway"": ""Razorpay"", ""transaction_fee"": 25}",FALSE
66,"{""name"": ""[REDACTED_PII]"", ""address"": ""[REDACTED_PII]"", ""ip_address"": ""122.161.49.XXX""}",TRUE
67,"{""inventory_id"": ""INV789"", ""stock_level"": 50}",FALSE
68,"{""upi_id"": ""b*****s@axisbank"", ""merchant_category"": ""retail""}",TRUE
69,"{""city"": ""Hyderabad"", ""weather"": ""partly_cloudy""}",FALSE
70,"{""phone"": ""84XXXXX123"", ""call_preference"": ""evening""}",TRUE
71,"{""coupon_code"": ""FIRST10"", ""usage_count"": 1}",FALSE
72,"{""name"": ""[REDACTED_PII]"", ""email"": ""k*****s@work.com"", ""device_type"": ""iOS""}",TRUE
73,"{""logistics_partner"": ""BlueDart"", ""tracking_id"": ""BD123456789""}",FALSE
74,"{""passport"": ""HXXXXXXX"", ""expiry_date"": ""2030-12-15""}",TRUE
75,"{""age"": 32, ""income_bracket"": ""middle_class""}",FALSE
76,"{""aadhar"": ""XXXX-XXXX-4567"", ""mobile_linked"": true}",TRUE
77,"{""return_reason"": ""size_issue"", ""refund_amount"": 899}",FALSE
78,"{""name"": ""[REDACTED_PII]"", ""phone"": ""71XXXXX890"", ""email"": ""d*****a@personal.com""}",TRUE
79,"{""seller_id"": ""SELLER001"", ""rating"": 4.2}",FALSE
80,"{""upi_id"": ""s*****p@hdfcbank"", ""settlement_cycle"": ""T+2""}",TRUE
81,"{""recommendation_type"": ""collaborative"", ""confidence"": 0.85}",FALSE
82,"{""name"": ""[REDACTED_PII]"", ""address"": ""[REDACTED_PII]"", ""email"": ""m*****g@email.com""}",TRUE
83,"{""api_version"": ""v2.1"", ""response_time"": ""120ms""}",FALSE
84,"{""phone"": ""95XXXXX123"", ""language_preference"": ""Hindi""}",TRUE
85,"{""last_name"": ""Reddy"", ""occupation"": ""Doctor""}",FALSE
86,"{""passport"": ""TXXXXXXX"", ""visa_required"": false}",TRUE
87,"{""affiliate_id"": ""AFF789"", ""commission_rate"": 5}",FALSE
88,"{""aadhar"": ""XXXX-XXXX-5678"", ""ekyc_timestamp"": ""2024-01-15T10:30:00Z""}",TRUE
89,"{""utm_source"": ""google"", ""campaign"": ""winter_sale""}",FALSE
90,"{""name"": ""[REDACTED_PII]"", ""email"": ""a*****o@university.edu"", ""ip_address"": ""157.49.183.XXX""}",TRUE
91,"{""fraud_score"": 0.15, ""risk_level"": ""low""}",FALSE
92,"{""upi_id"": ""7*****6@ybl"", ""bank_name"": ""State Bank""}",TRUE
93,"{""search_filter"": ""electronics"", ""sort_by"": ""price_low_to_high""}",FALSE
94,"{""phone"": ""82XXXXX890"", ""two_factor_auth"": true}",TRUE
95,"{""first_name"": ""Arun"", ""cart_value"": 2500}",FALSE
96,"{""name"": ""[REDACTED_PII]"", ""address"": ""[REDACTED_PII]"", ""phone"": ""67XXXXX345""}",TRUE
97,"{""machine_learning_model"": ""recommendation_v3"", ""accuracy"": 0.92}",FALSE
